Time,WHP [psi],FLP [psi],I_MOTOR,V_MOTOR,MOT_FREQ,Pi [psi],Pd [psi],Ti [Deg F],Tm [Deg F],VIBRATION
2/18/2021 22:09,109.79,109.45,63.64,"2,099.00",48,658.52,655.98,179,279.16,0.59
2/18/2021 22:19,109.8,109.33,63.71,"2,099.00",48.01,658.38,655.84,179,279.35,0.65
2/18/2021 22:29,109.59,109.03,63.67,"2,100.15",47.99,658.21,655.44,179,279.37,0.59
2/18/2021 22:39,109.64,109.15,63.64,"2,099.57",47.99,658.44,655.62,179,279.15,0.64
2/18/2021 22:49,109.6,109.09,63.71,"2,100.15",48,658.43,655.52,179,279.26,0.64
2/18/2021 22:59,109.4,108.89,63.71,"2,100.15",48,658.26,655.46,179,279.19,0.61
2/18/2021 23:09,109.15,109.02,63.62,"2,099.00",48,658.2,655.5,179,279.28,0.64
2/18/2021 23:19,109.09,108.93,63.71,"2,100.72",48,658.33,655.47,179,279.14,0.61
2/18/2021 23:29,109.18,108.69,63.69,"2,100.72",48,658.27,655.47,178.98,279.23,0.62
2/18/2021 23:39,109.33,108.88,63.73,"2,099.57",48,658.38,655.72,179,279.14,0.59
2/18/2021 23:49,109.25,108.82,63.69,"2,101.30",48,658.37,655.79,179,279.37,0.64
2/18/2021 23:59,109.03,108.88,63.66,"2,099.00",48,658.36,655.53,179,279.24,0.6
2/19/2021 0:09,109.36,108.98,63.67,"2,099.00",48,658.57,655.75,178.99,279.06,0.6
2/19/2021 0:19,109.75,109.26,63.67,"2,100.15",48,658.82,656.06,179,279.27,0.66
2/19/2021 0:29,109.62,109.32,63.69,"2,099.57",48,658.6,655.92,179,279.4,0.6
2/19/2021 0:39,109.89,109.24,63.6,"2,099.00",48,658.79,655.94,179,279.05,0.64
2/19/2021 0:49,109.9,109.35,63.76,"2,100.15",48,658.87,656.04,178.99,279.01,0.67
2/19/2021 0:59,109.56,109.16,63.74,"2,100.72",48,658.61,655.82,179,279.35,0.61
2/19/2021 1:09,109.51,109.12,63.73,"2,100.15",48,658.4,655.82,179,279.43,0.62
2/19/2021 1:19,109.63,109.2,63.62,"2,100.15",48,658.7,655.9,179,279.28,0.61
2/19/2021 1:29,109.24,109.01,63.69,"2,100.15",48,658.62,655.72,179,279.33,0.63
2/19/2021 1:39,109.09,108.82,63.67,"2,099.57",48,658.23,655.49,179,279.23,0.6
2/19/2021 1:49,109.19,108.74,63.62,"2,100.72",48,658.13,655.51,179,279.27,0.65
2/19/2021 1:59,109.26,108.76,63.66,"2,100.15",47.99,658.27,655.53,179,279.28,0.66
2/19/2021 2:09,109,108.71,63.6,"2,099.57",48,658.25,655.4,179,279.11,0.64
2/19/2021 2:19,109.3,108.7,63.6,"2,100.15",48,658.27,655.53,179,279.19,0.63
2/19/2021 2:29,109.17,108.85,63.6,"2,100.15",48,658.29,655.63,179,279.18,0.61
2/19/2021 2:39,108.93,108.57,63.62,"2,098.42",48,658.26,655.43,179,279.16,0.59
2/19/2021 2:49,109.19,108.54,63.71,"2,100.72",48,658.28,655.5,179,279.16,0.65
2/19/2021 2:59,109.13,108.78,63.67,"2,099.00",48,658.4,655.65,179,279.2,0.6
2/19/2021 3:09,109.09,108.67,63.66,"2,100.15",48.01,658.31,655.61,179,279.26,0.62
2/19/2021 3:19,108.99,108.7,63.59,"2,100.15",48,658.29,655.62,179,279.26,0.64
2/19/2021 3:29,109.47,108.99,63.57,"2,099.57",48,658.62,655.87,179,279.18,0.66
2/19/2021 3:39,109.44,109.14,63.69,"2,099.57",48,658.73,655.96,179,279.17,0.61
2/19/2021 3:49,109.41,109.05,63.66,"2,099.57",48,658.65,655.95,179,279.14,0.58
2/19/2021 3:59,109.4,109.24,63.66,"2,099.00",48,658.72,656.01,178.99,278.99,0.58
2/19/2021 4:09,109.57,109.3,63.74,"2,101.30",48,658.86,656.03,179,279.19,0.62
2/19/2021 4:19,109.45,109.25,63.71,"2,100.72",48,658.73,655.99,179,279.27,0.65
2/19/2021 4:29,109.62,109.4,63.69,"2,100.15",48,658.76,655.93,179,279.21,0.61
2/19/2021 4:39,109.67,109.49,63.67,"2,101.30",48,658.9,656.16,179,279.29,0.65
2/19/2021 4:49,109.81,109.48,63.71,"2,101.30",48,658.79,655.98,179,279.26,0.62
2/19/2021 4:59,109.49,109.45,63.67,"2,099.00",48,658.66,655.92,178.99,279.2,0.65
2/19/2021 5:09,109.85,109.48,63.69,"2,100.72",48,658.87,656.12,179,279.27,0.61
2/19/2021 5:19,109.81,109.45,63.6,"2,099.57",48,658.77,656.05,179,279.2,0.64
2/19/2021 5:29,109.53,109.31,63.66,"2,100.15",48.01,658.59,655.84,179,279.2,0.61
2/19/2021 5:39,109.91,109.5,63.69,"2,099.57",48,658.73,655.98,179,279.17,0.64
2/19/2021 5:49,110.06,109.67,63.69,"2,100.15",48.01,658.98,656.12,179,279.22,0.63
2/19/2021 5:59,109.75,109.43,63.78,"2,100.72",48,658.69,655.83,178.99,279.47,0.65
2/19/2021 6:09,109.99,109.61,63.71,"2,100.15",48,658.84,655.96,178.99,279.39,0.64
2/19/2021 6:19,110.1,109.84,63.73,"2,100.15",48,659.1,656.41,179,279.38,0.64
2/19/2021 6:29,110.05,109.74,63.71,"2,101.30",48,658.82,656.02,179,279.28,0.64
2/19/2021 6:39,109.87,109.66,63.71,"2,100.72",48,658.77,655.94,179,279.26,0.66
2/19/2021 6:49,110.19,109.7,63.67,"2,099.57",48,659.14,656.42,179,252.79,0.58
2/19/2021 6:59,110.58,109.82,63.69,"2,099.57",48,659.01,656.27,179,279.28,0.58
2/19/2021 7:09,109.93,109.76,63.6,"2,098.42",48,658.77,655.94,179,279.31,0.63
2/19/2021 7:19,110.33,110.04,63.67,"2,099.57",47.99,659.03,656.25,179,279.25,0.62
2/19/2021 7:29,110.24,109.95,63.64,"2,099.57",48,659.08,656.28,179,279.3,0.66
2/19/2021 7:39,110.01,109.66,63.66,"2,101.30",48,658.75,656.01,179,279.2,0.64
2/19/2021 7:49,109.96,109.43,63.59,"2,099.00",47.99,658.58,655.83,179,279.18,0.65
2/19/2021 7:59,109.79,109.36,63.64,"2,100.72",48,658.62,655.85,179,279.13,0.64
2/19/2021 8:09,109.43,108.92,63.6,"2,100.15",48,658.17,655.43,178.99,279.25,0.62
2/19/2021 8:19,108.97,108.59,63.66,"2,100.15",48,658.03,655.31,178.99,279.04,0.59
2/19/2021 8:29,108.87,108.52,63.66,"2,099.00",48,658.1,655.42,178.99,279.26,0.68
2/19/2021 8:39,108.77,108.1,63.62,"2,099.57",48,657.84,655.1,179,279.18,0.63
2/19/2021 8:49,108.2,107.67,63.59,"2,100.15",48,657.51,654.83,178.98,279.21,0.6
2/19/2021 8:59,108.03,107.64,63.66,"2,100.15",48,657.77,654.96,179,279.23,0.63
2/19/2021 9:09,107.6,107.11,63.69,"2,098.42",48,657.59,654.78,179,279.39,0.64
2/19/2021 9:19,107.31,106.9,63.67,"2,099.57",48,657.38,654.54,178.99,279.22,0.63
2/19/2021 9:29,107.44,106.87,63.67,"2,100.72",48,657.54,654.84,179,279.37,0.62
2/19/2021 9:39,107.13,106.76,63.69,"2,100.72",48,657.58,654.81,179,279.31,0.63
2/19/2021 9:49,106.58,106.36,63.71,"2,100.72",48,657.45,654.58,179,279.47,0.6
2/19/2021 9:59,106.58,106.03,63.67,"2,099.00",48,657.4,654.62,178.99,279.47,0.64
2/19/2021 10:09,106.24,105.76,63.73,"2,100.15",48,657.21,654.44,178.99,279.56,0.63
2/19/2021 10:19,106.12,105.49,63.59,"2,099.00",48,657.1,654.37,179,279.47,0.63
2/19/2021 10:29,106.56,105.71,63.62,"2,101.30",48,657.65,654.97,179,279.33,0.67
2/19/2021 10:39,106.24,105.71,63.73,"2,099.57",48,657.53,654.83,179,279.44,0.65
2/19/2021 10:49,105.93,105.38,63.71,"2,099.57",48,657.33,654.68,179,279.53,0.67
2/19/2021 10:59,106.16,105.41,63.73,"2,098.42",48,657.46,654.73,178.99,279.74,0.6
2/19/2021 11:09,105.58,105.18,63.73,"2,100.72",48,657.23,654.52,179,279.56,0.65
2/19/2021 11:19,105.63,105.09,63.67,"2,099.57",48.01,657.16,654.36,179,279.59,0.6
2/19/2021 11:29,105.76,105.25,63.6,"2,099.00",47.99,657.43,654.59,179,279.37,0.66
2/19/2021 11:39,105.5,105.04,63.66,"2,101.30",48,657.27,654.49,179,279.44,0.64
2/19/2021 11:49,105.28,104.64,63.6,"2,100.15",48,657.02,654.29,179,279.35,0.66
2/19/2021 11:59,105.33,104.42,63.64,"2,101.30",48.01,657.2,654.46,179,279.35,0.61
2/19/2021 12:09,105.43,104.41,63.62,"2,099.57",48,657.4,654.58,179,279.5,0.62
2/19/2021 12:19,105.39,104.78,63.62,"2,098.42",48,657.09,654.44,179,252.9,0.57
2/19/2021 12:29,105.55,104.82,63.55,"2,099.00",48,657.14,654.51,179,279.22,0.64
2/19/2021 12:39,105.8,104.79,63.66,"2,099.00",47.99,657.42,654.72,179,279.36,0.63
2/19/2021 12:49,105.38,104.81,63.6,"2,100.15",48,657.2,654.42,179,279.38,0.59
2/19/2021 12:59,105.52,104.87,63.6,"2,098.42",48.01,657.16,654.48,179,279.16,0.62
2/19/2021 13:09,105.75,104.72,63.67,"2,100.72",48,657.64,654.96,179,279.42,0.62
2/19/2021 13:19,105.66,103.96,63.66,"2,100.72",48,657.42,654.67,179,279.3,0.61
2/19/2021 13:29,105.21,104.17,63.71,"2,100.72",48,656.96,654.16,179,279.31,0.64
2/19/2021 13:39,105.52,104.62,63.55,"2,100.15",48,657.2,654.31,179,279.42,0.65
2/19/2021 13:49,105.44,104.62,63.66,"2,101.30",48,657.3,654.55,179,279.25,0.58
2/19/2021 13:59,105.15,104.45,63.62,"2,101.30",48.01,656.97,654.2,179,279.39,0.63
2/19/2021 14:09,105.07,104.53,63.62,"2,099.57",48,656.98,654.2,179,279.48,0.59
2/19/2021 14:19,105.69,105.1,63.62,"2,099.57",48,657.52,654.88,179,279.23,0.61
2/19/2021 14:29,105.25,104.62,63.64,"2,099.57",47.99,657.28,654.58,179,279.27,0.61
2/19/2021 14:39,105.48,104.66,63.67,"2,100.72",48.02,657.01,654.25,179,279.36,0.6
2/19/2021 14:49,105.79,105.09,63.55,"2,100.72",48,657.48,654.68,179,279.5,0.63
2/19/2021 14:59,105.66,105.05,63.64,"2,099.00",47.99,657.39,654.71,179,279.34,0.64
2/19/2021 15:09,105.02,104.51,63.66,"2,100.15",48,656.91,654.05,179,279.39,0.65
2/19/2021 15:19,105.82,104.45,63.66,"2,099.00",48.02,657.39,654.64,179,279.29,0.67
2/19/2021 15:29,106.11,105.51,63.67,"2,099.57",48,657.81,655.09,179,279.38,0.62
2/19/2021 15:39,105.43,104.35,63.62,"2,098.42",48,657.3,654.46,179,279.57,0.62
2/19/2021 15:49,105.49,104.11,63.69,"2,097.85",48,657.11,654.34,179,279.44,0.62
2/19/2021 15:59,106.08,103.39,63.66,"2,099.57",48,657.71,654.93,179,279.33,0.65
2/19/2021 16:09,105.46,102.5,63.6,"2,100.15",48,657.33,654.62,179,279.48,0.63
2/19/2021 16:19,105.71,103.36,63.67,"2,098.42",48,657.19,654.45,178.99,279.4,0.61
2/19/2021 16:29,106.59,105.44,63.6,"2,100.72",48,658.08,655.39,179,279.34,0.63
2/19/2021 16:39,106.74,105.41,63.57,"2,100.15",48,658.34,655.46,179,279.36,0.65
2/19/2021 16:49,105.85,104.49,63.6,"2,099.57",48,657.44,654.64,179,279.3,0.61
2/19/2021 16:59,106.09,105.09,63.57,"2,100.72",48,657.48,654.71,179,279.13,0.64
2/19/2021 17:09,106.91,105.71,63.57,"2,099.00",48,658.09,655.34,179,279.38,0.62
2/19/2021 17:19,106.4,105.42,63.62,"2,100.15",48,658.05,655.28,179,279.33,0.65
2/19/2021 17:29,106.47,105.45,63.64,"2,099.57",48,657.65,654.98,179,279.37,0.65
2/19/2021 17:39,107.16,106.17,63.59,"2,099.00",48,658.36,655.59,178.99,279.22,0.62
2/19/2021 17:49,107.68,106.42,63.67,"2,099.00",48,658.91,656.17,179,279.22,0.62
2/19/2021 17:59,107.4,106.28,63.69,"2,098.42",48,658.48,655.72,179,279.41,0.62
2/19/2021 18:09,107.88,106.63,63.67,"2,099.57",48,658.46,655.72,179,279.48,0.66
2/19/2021 18:19,108.31,107.4,63.69,"2,100.15",48,659.2,656.52,179,279.47,0.61
2/19/2021 18:29,108.17,107.21,63.74,"2,100.15",48,659.08,656.27,179,279.5,0.62
2/19/2021 18:39,108.32,107.2,63.66,"2,099.00",48,658.55,655.69,178.99,279.42,0.64
2/19/2021 18:49,108.93,107.97,63.67,"2,099.00",48,659.02,656.31,179,279.3,0.66
2/19/2021 18:59,108.87,107.92,63.71,"2,099.57",48,659.24,656.56,179,279.31,0.69
2/19/2021 19:09,108.74,107.71,63.66,"2,100.72",47.99,658.88,656.07,179,279.35,0.62
2/19/2021 19:19,109.04,108.28,63.62,"2,100.72",48,658.89,656.19,178.99,279.24,0.56
2/19/2021 19:29,109.26,108.59,63.71,"2,098.42",48,659.25,656.57,179,279.46,0.63
2/19/2021 19:39,108.75,107.98,63.62,"2,097.85",47.99,658.84,656.12,179,279.41,0.64
2/19/2021 19:49,108.75,107.71,63.64,"2,100.15",48,658.59,655.75,179,279.4,0.6
2/19/2021 19:59,108.83,108.16,63.62,"2,100.15",48,658.88,656.09,179,279.29,0.63
2/19/2021 20:09,108.78,107.85,63.6,"2,100.72",48,658.7,655.95,179,279.41,0.62
2/19/2021 20:19,108.34,107.47,63.62,"2,100.72",48,658.18,655.48,178.99,279.33,0.59
2/19/2021 20:29,108.84,107.83,63.6,"2,099.57",48,658.46,655.82,179,279.19,0.61
2/19/2021 20:39,108.43,107.68,63.69,"2,099.57",48,658.58,656,179,279.43,0.59
2/19/2021 20:49,108.17,107.22,63.69,"2,098.42",48,658.06,655.16,178.99,279.35,0.63
2/19/2021 20:59,108.41,107.32,63.78,"2,099.57",47.99,658.17,655.39,179,279.31,0.65
2/19/2021 21:09,108.41,107.49,63.69,"2,100.72",48,658.54,655.91,179,279.31,0.62
2/19/2021 21:19,108.03,107.4,63.71,"2,101.30",48,658.21,655.58,179,279.44,0.63
2/19/2021 21:29,108.3,107.35,63.64,"2,100.72",48.02,658.25,655.42,179,279.47,0.63
2/19/2021 21:39,108.8,107.86,63.67,"2,100.15",48,658.77,655.97,179,279.34,0.63
2/19/2021 21:49,108.59,107.71,63.62,"2,099.57",47.99,658.79,656.03,179,279.36,0.62
2/19/2021 21:59,108.4,107.53,63.71,"2,099.57",48,658.44,655.83,179,279.31,0.62
2/19/2021 22:09,108.72,107.86,63.67,"2,100.15",48,658.62,655.84,178.98,279.3,0.64
2/19/2021 22:19,108.77,108.07,63.71,"2,099.00",48,658.76,656.08,179,279.5,0.63
2/19/2021 22:29,108.69,107.84,63.76,"2,099.57",48,658.69,655.99,179,279.24,0.63
2/19/2021 22:39,109.05,108.17,63.71,"2,099.00",48.01,658.74,656.05,178.99,279.33,0.65
2/19/2021 22:49,109.48,108.6,63.73,"2,099.00",48,659.22,656.4,179,279.49,0.63
2/19/2021 22:59,109.12,108.38,63.66,"2,100.15",47.99,659.01,656.2,179,279.36,0.61
2/19/2021 23:09,108.9,108.22,63.71,"2,101.30",48,658.63,655.9,178.99,279.53,0.63
2/19/2021 23:19,109.41,108.44,63.64,"2,099.00",48,658.98,656.35,179,279.3,0.62
2/19/2021 23:29,108.95,108.04,63.6,"2,099.57",48,658.74,655.98,178.99,279.38,0.63
2/19/2021 23:39,108.6,107.84,63.73,"2,100.15",48,658.33,655.43,179,279.41,0.65
2/19/2021 23:49,108.78,108.1,63.69,"2,100.72",47.99,658.75,656.01,179,279.47,0.6
2/19/2021 23:59,108.91,108.11,63.73,"2,099.00",48,658.77,656.15,179,279.34,0.63
2/20/2021 0:09,108.66,107.61,63.69,"2,099.00",48,658.26,655.52,178.98,279.29,0.6
2/20/2021 0:19,108.61,107.82,63.78,"2,100.72",48,658.42,655.49,178.99,279.4,0.6
2/20/2021 0:29,108.56,107.88,63.81,"2,099.00",48,658.61,655.89,179,279.38,0.61
2/20/2021 0:39,108.14,107.54,63.74,"2,100.72",48,658.31,655.56,178.99,279.25,0.65
2/20/2021 0:49,108.18,107.5,63.66,"2,100.15",48.01,658.25,655.57,178.99,279.34,0.62
2/20/2021 0:59,108.62,107.7,63.81,"2,099.57",48,658.7,655.94,178.99,279.45,0.65
2/20/2021 1:09,108.33,107.45,63.69,"2,100.15",48,658.56,655.94,179,279.49,0.64
2/20/2021 1:19,108.42,107.36,63.69,"2,099.57",48.01,658.53,655.93,179,279.31,0.67
2/20/2021 1:29,108.72,108,63.74,"2,100.72",48,658.89,656.12,179,279.43,0.62
2/20/2021 1:39,108.79,108.02,63.73,"2,100.72",48,658.83,656.06,179,279.4,0.63
2/20/2021 1:49,108.7,107.62,63.73,"2,100.15",48,658.45,655.67,179,279.37,0.62
2/20/2021 1:59,108.84,108.11,63.69,"2,100.72",48,658.9,656.24,179,279.27,0.62
2/20/2021 2:09,109.05,108.3,63.74,"2,100.15",48,659.14,656.39,179,279.3,0.63
2/20/2021 2:19,108.7,108.03,63.66,"2,099.57",48,658.67,655.86,179,279.4,0.6
2/20/2021 2:29,108.83,108.05,63.69,"2,100.72",48,658.79,656.09,178.99,279.37,0.63
2/20/2021 2:39,109.15,108.36,63.73,"2,100.72",48,659.1,656.43,179,279.38,0.63
2/20/2021 2:49,108.88,108.11,63.69,"2,100.15",47.98,658.73,656.02,179,279.22,0.61
2/20/2021 2:59,109.12,107.93,63.67,"2,099.00",48,658.67,655.74,179,279.4,0.61
2/20/2021 3:09,109.19,108.26,63.69,"2,100.72",48,659.05,656.29,179,279.28,0.6
2/20/2021 3:19,108.75,108.04,63.62,"2,099.57",48,658.75,656.15,178.99,279.4,0.62
2/20/2021 3:29,108.95,107.9,63.62,"2,100.15",48,658.52,655.89,179,279.31,0.63
2/20/2021 3:39,109.27,108.29,63.67,"2,100.15",48.01,658.92,656.15,179,279.15,0.65
2/20/2021 3:49,108.94,108.29,63.66,"2,099.00",48,658.99,656.14,179,279.22,0.62
2/20/2021 3:59,108.74,107.84,63.71,"2,100.72",47.99,658.6,655.77,178.99,279.39,0.63
2/20/2021 4:09,108.95,108.01,63.73,"2,100.15",48,658.75,656.02,179,279.4,0.64
2/20/2021 4:19,109.11,108.19,63.67,"2,100.15",48,659.04,656.26,179,279.44,0.67
2/20/2021 4:29,108.73,107.91,63.78,"2,100.15",48,658.7,655.95,179,279.36,0.65
2/20/2021 4:39,108.75,107.81,63.74,"2,099.57",48,658.62,655.89,178.99,279.41,0.62
2/20/2021 4:49,109.18,108.3,63.69,"2,099.57",48,659.16,656.37,178.99,279.55,0.64
2/20/2021 4:59,108.97,108.13,63.74,"2,099.57",48,659.08,656.38,179,279.38,0.65
2/20/2021 5:09,108.86,107.91,63.8,"2,099.00",47.99,658.78,656.14,179,279.42,0.62
2/20/2021 5:19,109.1,108.07,63.69,"2,099.57",48,658.96,656.24,179,279.47,0.63
2/20/2021 5:29,108.72,107.98,63.76,"2,100.72",48,658.91,656.1,178.99,279.48,0.63
2/20/2021 5:39,108.67,107.72,63.81,"2,099.57",48.01,658.63,655.9,178.99,279.41,0.62
2/20/2021 5:49,108.72,107.85,63.78,"2,098.42",48,658.81,656.13,179,279.42,0.63
2/20/2021 5:59,109.07,108.09,63.85,"2,101.30",48,659.09,656.38,179,279.44,0.66
2/20/2021 6:09,108.69,107.85,63.74,"2,100.72",48,658.75,656.02,179,279.42,0.63
2/20/2021 6:19,108.67,107.65,63.78,"2,097.85",48,658.58,655.9,179,279.61,0.6
2/20/2021 6:29,108.83,107.89,63.8,"2,099.57",48,658.81,656.16,179,279.41,0.61
2/20/2021 6:39,108.77,107.72,63.69,"2,099.00",48,658.81,655.91,179,279.32,0.63
2/20/2021 6:49,108.62,107.64,63.76,"2,099.57",48,658.56,655.92,179,279.35,0.6
2/20/2021 6:59,108.92,107.9,63.76,"2,099.57",48,658.95,656.28,179,279.3,0.62
2/20/2021 7:09,109.09,108.01,63.74,"2,100.15",48,659.1,656.31,179,279.41,0.66
2/20/2021 7:19,109.17,107.99,63.76,"2,099.57",48,659.12,656.21,179,279.65,0.59
2/20/2021 7:29,109.13,108.12,63.76,"2,100.15",48.01,659.12,656.48,179,279.54,0.65
2/20/2021 7:39,109.29,108.34,63.69,"2,099.00",48,659.21,656.47,179,279.26,0.64
2/20/2021 7:49,108.96,108.41,63.74,"2,099.57",48,659.08,656.17,179,279.39,0.64
2/20/2021 7:59,109.13,108.69,63.73,"2,099.57",48.01,659.04,656.27,179,279.62,0.61
2/20/2021 8:09,109.04,108.61,63.66,"2,101.30",48,659.01,656.32,179,279.41,0.66
2/20/2021 8:19,108.6,108.75,63.76,"2,100.15",48,658.56,655.74,178.99,279.5,0.62
2/20/2021 8:29,108.44,108.51,63.74,"2,100.15",48.01,658.55,655.82,179,279.41,0.65
2/20/2021 8:39,107.99,107.68,63.67,"2,099.57",48,658.37,655.63,179,279.43,0.62
2/20/2021 8:49,107.43,107.1,63.69,"2,100.72",48,657.78,654.96,179,279.4,0.64
2/20/2021 8:59,107.47,106.88,63.62,"2,099.57",48,657.94,655.16,178.99,279.35,0.64
2/20/2021 9:09,106.93,105.38,63.6,"2,099.57",48,657.89,655.09,179,279.33,0.63
2/20/2021 9:19,106.12,105.42,63.67,"2,099.00",48.01,657.25,654.59,178.99,279.4,0.62
2/20/2021 9:29,106.07,105.55,63.71,"2,100.72",48,657.48,654.8,179,279.34,0.62
2/20/2021 9:39,106.06,105.33,63.69,"2,099.57",48,657.65,655,179,279.58,0.61
2/20/2021 9:49,105.08,104.81,63.64,"2,098.42",48,656.98,654.28,179,279.38,0.61
2/20/2021 9:59,105.41,104.63,63.71,"2,100.15",48,657.17,654.56,179,279.26,0.62
2/20/2021 10:09,106.26,105.88,63.64,"2,100.72",48,658.01,655.32,178.99,279.24,0.63
2/20/2021 10:19,105.61,105.03,63.66,"2,100.72",48,657.55,654.86,179,279.54,0.62
2/20/2021 10:29,106.32,105.6,63.64,"2,099.00",48,658.01,655.31,179,279.36,0.64
2/20/2021 10:39,107.02,105.8,63.62,"2,099.00",48.01,658.85,656.04,179,279.44,0.64
2/20/2021 10:49,105.99,105.08,63.62,"2,099.57",48,657.98,655.57,179,279.47,0.6
2/20/2021 10:59,105.59,104.41,63.62,"2,100.15",48,657.13,654.48,179,279.5,0.67
2/20/2021 11:09,105.95,105.15,63.69,"2,099.57",48,657.99,655.1,179,279.41,0.63
2/20/2021 11:19,105.76,104.47,63.64,"2,100.72",48,657.62,655.06,179,279.39,0.66
2/20/2021 11:29,105.45,104.68,63.66,"2,099.00",48,657.17,654.46,179,279.28,0.61
2/20/2021 11:39,105.83,105.32,63.62,"2,100.72",48,658.08,655.3,179,279.35,0.63
2/20/2021 11:49,104.94,104.36,63.69,"2,099.57",48,657.3,654.67,179,279.28,0.65
2/20/2021 11:59,104.15,102.14,63.69,"2,098.42",48,656.18,653.39,178.99,279.3,0.62
2/20/2021 12:09,105.2,102.7,63.62,"2,099.57",48,657.35,654.55,179,279.19,0.66
2/20/2021 12:19,105.13,103.79,63.64,"2,099.00",48.01,657.61,654.99,178.99,279.27,0.62
2/20/2021 12:29,104.02,103.01,63.6,"2,100.15",48,656.62,653.9,179,279.29,0.64
2/20/2021 12:39,105.68,104.38,63.67,"2,099.57",48,657.97,655.02,179,279.28,0.64
2/20/2021 12:49,106.4,105.79,63.67,"2,099.57",47.99,658.8,655.94,179,279.29,0.62
2/20/2021 12:59,105.17,104.6,63.57,"2,100.72",47.99,657.65,655.18,179,279.32,0.61
2/20/2021 13:09,105.64,104,63.66,"2,099.57",47.99,657.37,654.66,179,279.2,0.63
2/20/2021 13:19,105.89,105.18,63.64,"2,100.15",48,658.49,655.76,179,279.39,0.64
2/20/2021 13:29,105.03,104.54,63.66,"2,099.57",48,657.48,654.63,179,279.38,0.62
2/20/2021 13:39,105.3,103.38,63.64,"2,100.72",48,657.16,654.31,178.99,279.43,0.63
2/20/2021 13:49,105.97,104.88,63.57,"2,100.72",48,658.28,655.53,179,279.27,0.6
2/20/2021 13:59,104.58,103.25,63.62,"2,099.57",48,656.8,654.28,179,279.32,0.69
2/20/2021 14:09,104.14,103.13,63.62,"2,099.00",47.99,656.24,653.45,178.99,279.17,0.59
2/20/2021 14:19,105.87,105,63.62,"2,099.57",47.99,658.08,655.18,179,279.28,0.65
2/20/2021 14:29,104.97,104.21,63.66,"2,101.30",48,657.51,654.96,179,279.39,0.62
2/20/2021 14:39,103.77,103.05,63.6,"2,099.00",48,656.14,653.42,179,279.17,0.64
2/20/2021 14:49,105.69,104.65,63.59,"2,100.15",48,657.86,655.1,179,279.18,0.67
2/20/2021 14:59,106.24,105.36,63.67,"2,099.57",47.99,658.94,656.07,179,279.21,0.62
2/20/2021 15:09,104.52,103.55,63.59,"2,099.57",48,657.11,654.3,179,279.33,0.6
2/20/2021 15:19,104.95,104.1,63.67,"2,099.57",48,657.04,654.34,179,279.22,0.62
2/20/2021 15:29,106.77,105.51,63.64,"2,100.72",48,658.98,656.26,179,279.31,0.64
2/20/2021 15:39,105.86,104.88,63.69,"2,101.30",48,658.24,655.48,179,279.52,0.63
2/20/2021 15:49,105.11,103.91,63.64,"2,099.00",47.99,656.97,654.25,179,279.46,0.59
2/20/2021 15:59,106.2,105.4,63.57,"2,101.30",48,658.29,655.62,179,279.23,0.65
2/20/2021 16:09,106.23,105.9,63.59,"2,101.30",48,658.58,655.86,179,279.32,0.61
2/20/2021 16:19,105.08,104.52,63.62,"2,101.30",48,657.16,654.37,179,279.34,0.6
2/20/2021 16:29,106.01,104.98,63.55,"2,101.30",48,657.53,654.81,179,279.32,0.66
2/20/2021 16:39,106.45,106.01,63.6,"2,100.15",48,658.64,655.88,179,279.33,0.65
2/20/2021 16:49,105.94,105.13,63.71,"2,100.72",47.98,657.8,655.09,179,279.31,0.61
2/20/2021 16:59,105.35,104.86,63.64,"2,099.00",48,657.24,654.47,179,279.31,0.64
2/20/2021 17:09,107.06,106.42,63.57,"2,099.57",48,658.8,656.03,179,279.45,0.63
2/20/2021 17:19,106.82,106.29,63.66,"2,098.42",48,658.73,655.95,179,279.42,0.63
2/20/2021 17:29,105.83,105.47,63.6,"2,099.57",48,657.65,654.94,179,279.41,0.63
2/20/2021 17:39,106.7,106.14,63.54,"2,100.15",48,658.16,655.24,178.99,279.24,0.65
2/20/2021 17:49,107.11,106.47,63.57,"2,100.15",48,658.67,656.18,179,279.24,0.61
2/20/2021 17:59,106.12,105.65,63.62,"2,099.57",48,657.8,655.17,179,279.2,0.67
2/20/2021 18:09,106.72,105.95,63.64,"2,099.57",47.99,657.85,654.87,179,279.14,0.61
2/20/2021 18:19,107.31,106.76,63.64,"2,100.15",48,658.9,656.05,178.99,279.18,0.62
2/20/2021 18:29,107.16,106.54,63.69,"2,101.30",48.01,658.52,655.85,179,279.19,0.65
2/20/2021 18:39,106.7,106.31,63.57,"2,100.15",48,658.14,655.47,179,279.26,0.61
2/20/2021 18:49,107.95,107.24,63.59,"2,100.72",48,659,656.06,178.99,279.24,0.63
2/20/2021 18:59,108.1,107.68,63.59,"2,100.15",48,659.34,656.47,178.98,279.38,0.62
2/20/2021 19:09,107.52,106.93,63.64,"2,100.15",48,658.54,655.92,179,279.37,0.64
2/20/2021 19:19,107.69,106.19,63.6,"2,097.85",48,658.49,655.88,179,279.44,0.61
2/20/2021 19:29,107.95,107.02,63.64,"2,100.72",48,658.88,656.18,179,279.3,0.65
2/20/2021 19:39,107.63,106.61,63.6,"2,099.00",48,658.26,655.52,179,279.34,0.62
